Defective,LOC_EXECUTABLE,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL
0,2,59,31,0,30,1,1,130.77,15.89,33012.61,0.69,345,0.06,1834.03,2077.71,156,189,54,11,33
1,2,17,14,0,9,1,1,85.3,11.0,10321.01,0.31,168,0.09,573.39,938.27,74,94,37,11,16
0,2,9,5,0,5,1,1,39.02,5.33,1109.78,0.07,46,0.19,61.65,208.08,20,26,15,8,7
1,56,65,0,1,33,4,1,212.2,33.39,236652.5,2.36,1045,0.03,13147.36,7086.52,423,622,95,15,56
1,22,27,2,1,14,3,1,99.64,24.6,60297.15,0.82,407,0.04,3349.84,2451.1,164,243,50,15,24
1,68,89,6,1,45,3,1,318.29,36.8,430930.48,3.9,1588,0.03,23940.58,11711.56,645,943,149,17,74
1,39,35,0,0,18,1,1,162.87,24.2,95404.28,1.31,600,0.04,5300.24,3941.91,239,361,79,16,39
1,42,51,6,1,26,3,1,189.65,36.5,252667.13,2.31,1031,0.03,14037.06,6922.39,438,593,90,15,48
0,21,27,1,4,14,1,9,15.66,31.95,15993.34,0.17,102,0.03,888.52,500.5,37,65,11,19,22
1,49,9,2,24,5,5,1,72.48,20.68,31004.8,0.5,257,0.05,1722.49,1499.05,106,151,41,16,51
0,9,3,0,0,2,1,1,17.71,14.0,3472.0,0.08,62,0.07,192.89,248.0,28,34,8,8,9
0,27,7,1,2,4,2,1,49.99,17.26,14890.23,0.29,160,0.06,827.24,862.77,77,83,29,13,28
0,20,13,4,1,7,4,5,24.63,17.41,7465.7,0.14,85,0.06,414.76,428.77,37,48,17,16,24
0,14,7,2,8,4,2,1,31.34,10.33,3346.5,0.11,66,0.1,185.92,323.85,31,35,18,12,16
0,17,5,7,2,3,1,1,20.45,15.17,4705.14,0.1,66,0.07,261.39,310.23,26,40,12,14,24
0,5,3,0,0,2,1,1,9.87,5.63,312.22,0.02,15,0.18,17.35,55.51,5,10,4,9,5
0,21,3,2,5,2,2,1,55.64,8.27,3804.87,0.15,89,0.12,211.38,460.12,43,46,26,10,23
0,16,7,1,3,4,1,1,34.78,14.04,6856.63,0.16,90,0.07,380.92,488.36,39,51,25,18,17
0,57,33,3,16,17,4,8,81.83,29.21,69838.03,0.8,375,0.03,3879.89,2390.64,162,213,61,22,60
0,29,17,4,8,9,4,7,58.4,14.93,13015.0,0.29,147,0.07,723.06,871.82,66,81,42,19,33
0,18,5,4,4,3,3,1,23.37,9.15,1958.65,0.07,45,0.11,108.81,213.97,17,28,13,14,22
1,59,29,5,14,15,6,10,46.09,53.79,133379.57,0.83,390,0.02,7409.98,2479.45,177,213,51,31,64
1,33,7,1,4,4,3,1,85.6,21.6,39935.53,0.62,307,0.05,2218.64,1848.87,144,163,50,15,34
0,13,3,1,3,2,1,1,34.95,18.36,11781.35,0.21,119,0.05,654.52,641.69,54,65,25,17,14
0,36,37,0,0,19,6,11,33.88,39.58,53092.15,0.45,232,0.03,2949.56,1341.28,95,137,30,25,36
0,17,13,0,0,7,6,6,44.6,12.75,7250.82,0.19,110,0.08,402.82,568.69,51,59,24,12,17
0,29,21,0,1,11,3,5,26.43,34.72,31867.04,0.31,161,0.03,1770.39,917.77,75,86,27,25,29
0,19,17,0,0,9,1,9,19.04,26.67,13541.31,0.17,99,0.04,752.29,507.8,40,59,15,20,19
0,20,15,1,1,8,2,4,15.74,26.13,10742.56,0.14,83,0.04,596.81,411.2,33,50,12,19,21
0,20,15,1,1,8,2,4,15.74,26.13,10742.56,0.14,83,0.04,596.81,411.2,33,50,12,19,21
1,39,7,3,13,4,1,1,98.24,22.84,51227.3,0.75,350,0.04,2845.96,2243.29,170,180,67,18,42
0,29,29,6,10,15,4,1,63.05,32.2,65351.13,0.68,348,0.03,3630.62,2029.85,165,183,41,16,35
1,18,11,4,7,6,3,6,36.66,13.45,6637.2,0.16,94,0.07,368.73,493.31,37,57,22,16,22
1,27,13,4,7,7,4,1,55.22,19.68,21394.68,0.36,188,0.05,1188.59,1086.9,88,100,38,17,31
1,20,3,0,3,2,2,1,52.01,14.66,11171.75,0.25,138,0.07,620.65,762.25,67,71,32,14,20
0,15,11,3,7,6,3,1,37.77,12.29,5701.61,0.15,92,0.08,316.76,464.08,43,49,21,12,18
0,24,15,6,14,8,6,1,55.87,16.21,14703.33,0.3,159,0.06,816.85,906.37,73,86,36,16,30
1,21,13,4,11,7,4,4,47.71,15.97,12167.64,0.25,135,0.06,675.98,761.92,62,73,33,17,25
0,13,7,0,9,4,1,1,24.0,22.5,12150.0,0.18,108,0.04,675.0,540.0,51,57,17,15,13
0,4,3,0,0,2,1,1,11.42,6.67,507.65,0.03,20,0.15,28.2,76.15,10,10,6,8,4
0,7,5,0,0,3,1,1,7.53,10.0,752.84,0.03,21,0.1,41.82,75.28,10,11,4,8,7
1,20,13,4,11,7,4,4,47.71,15.97,12167.64,0.25,135,0.06,675.98,761.92,62,73,33,17,24
0,20,11,4,19,6,3,1,32.36,31.53,32175.94,0.34,179,0.03,1787.55,1020.38,86,93,30,22,24
1,14,13,4,11,7,2,4,33.36,14.26,6783.7,0.16,90,0.07,376.87,475.69,41,49,23,16,18
1,23,23,4,19,12,6,4,50.37,18.03,16367.05,0.3,155,0.06,909.28,907.99,74,81,39,19,27
0,9,3,1,14,2,2,1,33.92,9.38,2981.4,0.11,62,0.11,165.63,318.02,25,37,20,15,10
0,5,3,0,8,2,2,1,28.99,5.54,889.14,0.05,36,0.18,49.4,160.54,16,20,13,9,5
1,15,11,4,17,6,5,1,55.47,8.07,3611.37,0.15,83,0.12,200.63,447.56,36,47,29,13,19
0,10,5,2,8,3,2,1,18.53,11.67,2522.57,0.07,46,0.09,140.14,216.22,20,26,12,14,12
0,6,3,0,0,2,2,1,23.63,6.0,850.66,0.05,34,0.17,47.26,141.78,15,19,10,8,6
0,10,7,0,0,4,1,1,8.55,23.4,4683.66,0.07,48,0.04,260.2,200.16,18,30,5,13,10
0,15,3,0,0,2,2,1,25.27,11.39,3280.22,0.1,62,0.09,182.23,287.92,29,33,14,11,15
0,11,3,1,0,2,1,1,19.12,6.0,688.28,0.04,31,0.17,38.24,114.71,14,17,7,6,12
0,11,3,0,0,2,2,1,22.15,6.4,907.38,0.05,34,0.16,50.41,141.78,16,18,10,8,11
0,10,3,0,0,2,2,1,38.09,6.5,1609.32,0.08,54,0.15,89.41,247.59,26,28,16,8,10
0,21,13,0,0,7,3,6,20.0,16.25,5282.39,0.11,70,0.06,293.47,325.07,30,40,12,13,21
0,17,5,3,0,3,1,1,27.46,13.36,4903.83,0.12,88,0.07,272.44,366.95,42,46,11,7,20
0,7,3,0,0,2,1,1,8.22,9.0,666.08,0.02,20,0.11,37.0,74.01,8,12,4,9,7
0,8,3,0,0,2,2,1,11.6,10.0,1160.0,0.04,29,0.1,64.44,116.0,12,17,6,10,8
0,13,3,0,0,2,1,1,26.51,7.13,1345.7,0.06,43,0.14,74.76,188.87,19,24,12,9,13
0,6,3,0,0,2,1,1,14.8,8.56,1083.64,0.04,28,0.12,60.2,126.66,11,17,9,14,6
0,28,9,0,0,5,4,3,21.3,21.76,10091.02,0.15,89,0.05,560.61,463.64,37,52,17,20,28
0,7,5,0,0,3,1,1,11.62,9.75,1104.67,0.04,29,0.1,61.37,113.3,13,16,6,9,7
1,38,8,4,32,6,6,1,44.55,25.33,28593.41,0.38,198,0.04,1588.52,1128.69,88,110,33,19,42
0,49,33,5,23,17,11,17,56.67,17.49,17327.12,0.33,173,0.06,962.62,990.93,68,105,35,18,54
1,32,9,5,23,5,5,1,99.95,11.96,14297.65,0.4,200,0.08,794.31,1195.46,92,108,50,13,37
1,16,3,3,24,2,2,1,24.8,12.19,3683.14,0.1,61,0.08,204.62,302.21,26,35,16,15,19
0,35,15,4,13,9,6,5,39.96,20.3,16466.48,0.27,143,0.05,914.8,811.16,58,85,30,21,39
1,19,3,2,13,2,1,1,54.15,14.62,11582.56,0.26,157,0.07,643.48,791.97,78,79,24,9,21
0,15,5,3,21,3,2,1,38.86,14.28,7924.93,0.18,105,0.07,440.27,554.97,51,54,25,14,18
0,19,7,4,27,4,2,3,42.56,14.44,8879.35,0.2,114,0.07,493.3,614.72,52,62,27,15,23
0,28,9,8,18,5,5,1,36.37,18.27,12140.16,0.22,121,0.05,674.45,664.51,50,71,26,19,36
1,19,9,5,37,5,4,4,33.28,15.94,8459.67,0.18,95,0.06,469.98,530.57,41,54,27,21,24
1,13,5,4,19,3,2,3,34.91,12.87,5781.77,0.15,85,0.08,321.21,449.26,37,48,23,16,17
1,23,3,8,34,2,2,1,74.64,13.81,14241.04,0.34,180,0.07,791.17,1031.03,85,95,40,13,31
0,33,16,12,23,10,8,5,48.11,16.19,12617.28,0.26,133,0.06,700.96,779.11,53,80,36,22,45
1,46,21,7,27,11,5,7,58.55,21.92,28134.83,0.43,222,0.05,1563.05,1283.46,98,124,38,17,53
1,21,7,4,3,4,3,1,38.31,13.54,7020.93,0.17,95,0.07,390.05,518.65,43,52,27,17,25
1,14,7,1,13,4,4,1,29.18,7.86,1801.24,0.08,50,0.13,100.07,229.25,22,28,14,10,15
1,64,23,1,20,12,3,11,80.39,13.95,15650.31,0.37,183,0.07,869.46,1121.66,87,96,53,17,65
1,55,45,8,46,23,7,19,65.12,36.85,88450.77,0.8,389,0.03,4913.93,2400.1,179,210,51,21,63
1,7,5,6,42,3,2,1,23.64,9.31,2048.42,0.07,48,0.11,113.8,220.08,22,26,13,11,13
0,12,5,0,0,3,2,3,27.43,7.86,1693.16,0.07,47,0.13,94.06,215.49,22,25,14,10,12
0,6,3,0,0,2,1,1,13.83,11.25,1750.38,0.05,36,0.09,97.24,155.59,15,21,8,12,6
0,16,5,2,0,3,2,3,26.3,10.45,2872.09,0.09,52,0.1,159.56,274.84,22,30,20,19,18
0,28,31,7,12,16,6,11,33.74,35.21,41834.57,0.4,198,0.03,2324.14,1188.0,85,113,35,29,35
0,8,5,0,0,3,2,1,12.1,13.93,2347.73,0.06,39,0.07,130.43,168.56,15,24,7,13,8
0,190,15,0,50,8,1,1,175.59,53.22,497406.05,3.12,1309,0.02,27633.67,9345.67,644,665,121,20,190
0,12,9,3,10,5,2,3,22.72,18.75,7988.64,0.14,86,0.05,443.81,426.06,40,46,16,15,15
0,6,3,2,0,2,2,1,22.46,9.0,1819.07,0.07,43,0.11,101.06,202.12,18,25,13,13,8
0,6,3,2,0,2,2,1,22.46,9.0,1819.07,0.07,43,0.11,101.06,202.12,18,25,13,13,8
0,5,3,1,6,2,2,1,20.84,3.94,323.05,0.03,21,0.25,17.95,82.04,9,12,8,7,6
1,44,25,12,24,13,8,6,75.71,19.73,29480.66,0.5,237,0.05,1637.81,1494.0,109,128,58,21,56
0,18,9,5,10,5,4,1,37.97,14.77,8282.6,0.19,104,0.07,460.14,560.8,48,56,26,16,23
0,31,19,17,0,10,1,8,31.42,46.06,66661.35,0.48,246,0.02,3703.41,1447.13,102,144,31,28,48
0,10,5,1,0,3,1,1,13.96,11.67,1899.9,0.05,36,0.09,105.55,162.85,15,21,9,14,11
0,29,15,0,0,8,6,6,25.81,30.07,23331.58,0.26,143,0.03,1296.2,775.96,63,80,22,21,29
0,13,13,0,0,7,7,4,14.04,29.36,12103.07,0.14,84,0.03,672.39,412.18,34,50,11,19,13
0,24,3,0,0,2,2,1,30.78,18.0,9971.33,0.18,108,0.06,553.96,553.96,48,60,20,15,24
0,43,17,0,0,10,10,1,38.43,28.04,30219.56,0.36,181,0.04,1678.86,1077.71,83,98,37,25,43
0,20,9,0,0,5,5,4,23.94,16.5,6517.5,0.13,79,0.06,362.08,395.0,33,46,16,16,20
0,10,5,0,0,3,3,1,14.62,9.17,1228.15,0.04,31,0.11,68.23,133.98,15,16,9,11,10
0,33,33,0,0,17,10,10,90.42,13.0,15281.13,0.39,199,0.08,848.95,1175.47,94,105,47,13,33
0,9,5,0,0,3,3,1,24.0,4.67,522.66,0.04,28,0.21,29.04,112.0,12,16,9,7,9
0,62,53,0,0,27,23,19,88.96,33.0,96874.9,0.98,450,0.03,5381.94,2935.6,210,240,70,22,62
0,55,41,0,0,21,20,1,95.28,25.67,62771.57,0.82,374,0.04,3487.31,2445.65,176,198,72,21,55
0,30,19,0,0,10,10,5,43.84,22.75,22691.4,0.33,171,0.04,1260.63,997.42,78,93,36,21,30
0,87,55,2,0,34,15,17,69.02,44.68,137758.8,1.03,448,0.02,7653.27,3083.42,181,267,79,39,89
0,49,37,0,2,20,7,12,25.89,66.86,115710.92,0.58,293,0.01,6428.38,1730.72,117,176,28,32,49
0,21,21,0,0,11,6,1,24.3,27.0,17711.76,0.22,125,0.04,983.99,655.99,60,65,20,18,21
0,90,67,1,1,34,30,17,179.17,21.38,81861.96,1.28,548,0.05,4547.89,3829.8,243,305,108,19,91
0,45,25,0,0,14,8,6,57.83,26.49,40578.75,0.51,243,0.04,2254.37,1531.82,108,135,53,26,45
0,88,59,0,1,34,22,15,71.79,42.0,126638.31,1.01,450,0.02,7035.46,3015.2,189,261,72,32,88
0,45,19,0,0,10,8,3,48.13,38.75,72273.89,0.62,291,0.03,4015.22,1865.13,135,156,54,31,45
0,69,45,2,0,23,19,19,63.43,34.98,77622.82,0.74,350,0.03,4312.38,2218.95,148,202,55,26,71
0,23,11,0,0,7,4,4,29.43,18.57,10146.96,0.18,102,0.05,563.72,546.47,43,59,22,19,23
0,142,49,2,1,25,22,19,135.53,37.53,190890.99,1.7,729,0.03,10605.06,5086.44,319,410,102,24,144
0,14,7,1,3,4,1,1,28.72,9.38,2523.86,0.09,56,0.11,140.21,269.21,25,31,16,12,15
0,19,5,4,6,3,2,1,48.79,19.21,18005.58,0.31,160,0.05,1000.31,937.28,73,87,38,20,23
1,57,33,6,6,17,7,9,95.6,21.1,42542.23,0.67,313,0.05,2363.46,2016.64,151,162,68,19,63
0,10,5,0,0,3,1,1,9.15,16.25,2416.01,0.05,35,0.06,134.22,148.68,15,20,6,13,10
0,40,11,2,16,6,3,1,41.91,27.61,31948.87,0.39,204,0.04,1774.94,1157.17,93,111,32,19,42
1,73,21,12,22,11,8,4,132.29,22.53,67179.31,0.99,444,0.04,3732.18,2981.13,204,240,86,19,85
0,28,11,3,19,6,4,5,25.75,23.98,14801.55,0.21,116,0.04,822.31,617.34,53,63,21,19,31
0,27,11,4,21,6,4,5,25.75,23.98,14801.55,0.21,116,0.04,822.31,617.34,53,63,21,19,31
0,103,37,18,38,19,10,9,182.27,15.56,44121.9,0.95,419,0.06,2451.22,2835.87,195,224,94,15,121
0,26,11,5,19,6,4,5,27.15,22.89,14223.33,0.21,116,0.04,790.18,621.48,53,63,22,19,31
0,10,7,0,0,4,1,1,6.98,22.1,3409.75,0.05,37,0.05,189.43,154.29,17,20,5,13,10
1,45,11,1,7,8,5,1,42.42,24.2,24843.45,0.34,176,0.04,1380.19,1026.58,77,99,35,22,46
0,77,37,5,4,19,2,18,60.94,26.48,42724.78,0.54,266,0.04,2373.6,1613.58,116,150,46,21,82
0,60,39,3,26,20,4,13,69.45,23.14,37185.01,0.54,258,0.04,2065.83,1607.04,119,139,54,21,63
0,73,31,3,22,16,6,3,90.21,25.16,57086.39,0.76,355,0.04,3171.47,2269.27,161,194,64,20,76
1,117,69,4,38,35,4,3,126.88,26.71,90551.52,1.13,497,0.04,5030.64,3389.63,221,276,91,22,121
0,5,7,3,5,4,4,1,23.69,4.5,479.73,0.04,28,0.22,26.65,106.61,12,16,8,6,8
0,166,64,15,13,35,17,22,144.78,33.72,164651.23,1.63,666,0.03,9147.29,4882.39,307,359,132,29,181
1,51,5,2,26,3,2,3,173.7,9.4,15334.09,0.54,256,0.11,851.89,1632.01,123,133,72,11,53
0,40,18,6,11,10,7,7,49.69,15.32,11670.05,0.25,130,0.07,648.34,761.54,54,76,37,21,46
0,6,5,1,8,3,1,1,17.75,9.9,1739.36,0.06,40,0.1,96.63,175.69,18,22,10,11,7
0,5,3,1,7,2,1,1,16.12,7.5,906.96,0.04,29,0.13,50.39,120.93,12,17,8,10,6
0,25,27,4,7,14,1,14,46.65,17.11,13659.38,0.27,149,0.06,758.85,798.28,66,83,27,14,29
0,206,59,0,31,30,3,1,239.03,36.2,313287.38,2.88,1172,0.03,17404.85,8653.7,564,608,148,19,206
0,208,59,0,29,30,3,1,242.69,36.29,319607.72,2.94,1190,0.03,17755.98,8807.05,573,617,150,19,208
0,255,87,0,35,44,14,13,249.73,43.13,464447.49,3.59,1405,0.02,25802.64,10769.8,675,730,180,23,255
0,209,57,0,35,29,2,1,233.67,37.57,329746.68,2.93,1182,0.03,18319.26,8777.84,571,611,152,20,209
0,137,17,0,28,9,2,1,154.38,37.66,218997.95,1.94,832,0.03,12166.55,5814.59,403,429,107,20,137
0,21,9,0,0,5,3,5,24.76,24.5,14864.15,0.2,114,0.04,825.79,606.7,49,65,20,20,21
0,12,5,0,0,3,3,1,18.39,19.2,6779.67,0.12,70,0.05,376.65,353.11,32,38,15,18,12
0,8,3,0,0,2,2,1,14.6,11.59,1961.37,0.06,36,0.09,108.96,169.22,17,19,11,15,8
0,37,13,2,0,8,8,5,38.0,20.84,16509.21,0.26,137,0.05,917.18,792.05,58,79,32,23,39
0,39,15,0,3,8,8,1,39.25,24.9,24336.47,0.33,175,0.04,1352.03,977.37,83,92,30,18,39
0,36,19,0,0,10,6,1,54.39,16.69,15143.75,0.3,160,0.06,841.32,907.59,73,87,35,16,36
0,43,19,0,0,13,9,3,47.44,23.4,25974.0,0.37,185,0.04,1443.0,1110.0,78,107,40,24,43
0,17,5,3,10,3,2,1,37.06,22.6,18935.91,0.28,150,0.04,1052.0,837.74,69,81,29,19,20
1,11,5,1,0,3,1,1,17.39,26.25,11982.32,0.15,96,0.04,665.68,456.47,42,54,12,15,12
0,21,9,3,0,5,4,3,56.3,11.0,6811.81,0.21,118,0.09,378.43,619.26,54,64,27,11,24
0,31,21,10,11,11,3,1,51.67,21.46,23803.95,0.37,187,0.05,1322.44,1109.05,88,99,41,20,41
0,18,11,2,6,6,2,5,25.18,18.0,8158.0,0.15,87,0.06,453.22,453.22,38,49,19,18,20
0,10,3,1,0,2,2,1,26.99,6.97,1309.86,0.06,40,0.14,72.77,188.02,19,21,15,11,11
1,35,15,5,29,8,7,1,61.99,27.4,46526.99,0.57,271,0.04,2584.83,1698.3,121,150,53,24,40
1,11,7,1,3,4,3,1,23.9,19.68,9260.7,0.16,91,0.05,514.48,470.46,44,47,19,17,12
1,33,13,5,26,7,7,1,60.18,27.5,45509.93,0.55,270,0.04,2528.33,1654.91,120,150,48,22,38
0,20,17,5,12,9,2,1,32.02,26.93,23220.17,0.29,152,0.04,1290.01,862.21,71,81,29,22,25
0,11,5,2,7,3,2,3,22.96,13.5,4185.0,0.1,62,0.07,232.5,310.0,27,35,16,16,13
0,12,5,2,7,3,2,3,23.74,10.21,2476.96,0.08,51,0.1,137.61,242.5,22,29,14,13,14
1,21,17,5,12,9,2,1,33.47,24.62,20287.52,0.27,146,0.04,1127.08,824.0,68,78,29,21,26
1,42,7,4,57,4,2,1,77.69,36.83,105400.45,0.95,458,0.03,5855.58,2861.55,221,237,57,19,46
1,14,3,0,0,2,1,1,41.25,14.67,8873.33,0.2,121,0.07,492.96,605.0,56,65,21,11,14
0,7,3,0,0,2,2,1,10.34,8.1,678.47,0.03,22,0.12,37.69,83.76,9,13,5,9,7
0,13,5,1,0,3,1,1,18.91,10.45,2065.48,0.07,45,0.1,114.75,197.65,19,26,10,11,14
0,5,3,0,0,2,1,1,6.5,6.0,234.0,0.01,13,0.17,13.0,39.0,4,9,2,6,5
0,48,29,4,2,15,2,8,16.05,54.0,46843.61,0.29,163,0.02,2602.42,867.47,72,91,16,24,52
0,47,25,0,1,13,9,8,57.88,31.53,57542.56,0.61,293,0.03,3196.81,1825.04,134,159,51,24,47
0,100,52,20,2,37,17,1,62.85,77.19,374495.12,1.62,700,0.01,20805.28,4851.52,305,395,81,41,120
0,11,9,0,0,5,3,3,25.83,12.0,3720.0,0.1,62,0.08,206.67,310.0,24,38,16,16,11
0,34,15,3,0,8,4,1,23.86,46.0,50477.9,0.37,201,0.02,2804.33,1097.35,92,109,22,22,37
0,16,15,0,0,8,5,3,29.0,17.43,8805.15,0.17,97,0.06,489.17,505.32,41,56,20,17,16
0,30,13,3,0,7,4,1,34.65,30.14,31475.69,0.35,187,0.03,1748.65,1044.39,92,95,29,19,33
0,17,11,1,0,6,5,3,36.89,9.89,3605.18,0.12,70,0.1,200.29,364.66,29,41,22,15,18
0,12,3,0,0,2,1,1,16.65,4.67,362.64,0.03,21,0.21,20.15,77.71,8,13,6,7,12
0,27,13,0,0,7,3,1,18.92,19.63,7291.52,0.12,73,0.05,405.08,371.38,31,42,15,19,27
0,7,3,0,0,2,1,1,14.51,4.2,255.97,0.02,17,0.24,14.22,60.94,6,11,5,7,7
0,48,9,0,4,5,5,1,59.96,20.2,24477.25,0.4,197,0.05,1359.85,1211.5,90,107,49,22,48
0,17,3,0,0,2,2,1,27.97,23.08,14896.06,0.22,139,0.04,827.56,645.5,50,89,13,12,17
0,17,5,0,0,3,1,1,21.5,7.15,1099.18,0.05,35,0.14,61.07,153.73,13,22,10,11,17
0,8,3,0,0,2,1,1,17.2,6.67,764.63,0.04,27,0.15,42.48,114.69,12,15,9,10,8
0,17,11,0,0,8,1,1,16.16,19.2,5956.4,0.1,66,0.05,330.91,310.23,24,42,10,16,17
0,17,3,0,0,2,1,1,19.85,16.82,5614.18,0.11,76,0.06,311.9,333.82,37,39,11,10,17
0,66,52,0,7,28,17,22,50.5,42.41,90808.6,0.71,335,0.02,5044.92,2141.43,145,190,53,31,66
0,12,7,0,0,4,3,3,18.68,12.83,3076.44,0.08,51,0.08,170.91,239.72,22,29,12,14,12
0,59,11,3,6,6,5,1,66.95,25.45,43359.38,0.57,268,0.04,2408.85,1703.82,123,145,58,24,62
0,8,3,0,0,2,1,1,17.2,6.67,764.63,0.04,27,0.15,42.48,114.69,12,15,9,10,8
0,45,9,2,5,5,5,1,71.31,24.66,43378.78,0.59,286,0.04,2409.93,1758.83,135,151,52,19,47
0,37,15,8,11,8,3,1,56.27,20.0,22506.86,0.38,189,0.05,1250.38,1125.34,84,105,42,20,45
0,36,5,0,12,3,1,1,49.13,19.76,19184.32,0.32,185,0.05,1065.8,970.87,76,109,25,13,36
0,7,3,0,0,2,1,1,8.4,7.0,411.67,0.02,17,0.14,22.87,58.81,8,9,4,7,7
0,14,5,1,4,3,2,1,27.81,13.36,4964.52,0.12,75,0.07,275.81,371.56,37,38,18,13,15
0,29,3,0,2,2,1,1,62.76,21.36,28626.92,0.45,240,0.05,1590.38,1340.39,115,125,35,13,29
0,16,3,0,0,2,1,1,39.81,13.88,7671.65,0.18,119,0.07,426.2,552.62,59,60,17,8,16
0,12,3,0,0,2,1,1,26.25,13.67,4902.51,0.12,83,0.07,272.36,358.72,41,42,12,8,12
